iter	RMSE
0	1305.420647
1	1261.130227
2	1217.773296
3	1176.033809
4	1141.491419
5	1108.473176
6	1076.696312
7	1044.783955
8	1013.104464
9	979.917537
10	952.7257934
11	923.8919684
12	901.3253013
13	876.3952128
14	857.6134326
15	834.9250131
16	813.807675
17	794.2539815
18	775.7179353
19	761.2535603
20	743.8954405
21	724.3713582
22	708.9562982
23	696.8546427
24	685.8383114
25	673.4880501
26	659.4017637
27	645.4487303
28	631.7624365
29	620.1761792
30	605.5374317
31	593.387819
32	582.2261202
33	574.0858665
34	569.5977128
35	559.8923065
36	546.9995403
37	537.9001432
38	531.4339256
39	521.2461116
40	512.6848132
41	506.0838824
42	498.4026249
43	489.0518002
44	481.5762949
45	473.9089539
46	465.9462685
47	459.724263
48	452.9966518
49	443.3651198
50	437.0507299
51	430.1632123
52	425.2582054
53	420.1805287
54	412.7178003
55	407.4342676
56	401.8948244
57	396.0508022
58	390.5057649
59	386.1572111
60	381.494051
61	376.898849
62	371.7496647
63	365.0695386
64	359.0165487
65	354.0721245
66	351.1176263
67	346.7934969
68	341.9717481
69	337.7428618
70	332.1622055
71	326.3677703
72	323.2493282
73	317.7136016
74	313.5074663
75	309.1589095
76	306.0542165
77	303.0640292
78	300.2812817
79	295.9864232
80	292.6756171
81	288.6322789
82	285.9649967
83	284.1060888
84	280.7617442
85	276.8630537
86	273.2445233
87	270.4169129
88	267.6660959
89	265.2399054
90	262.2417459
91	259.7102312
92	255.8921198
93	254.4770755
94	251.4644833
95	248.1887232
96	245.7822902
97	244.4934416
98	241.5460199
99	239.6143521
100	236.9824127
101	233.9311357
102	230.2781482
103	227.5188209
104	225.0896939
105	223.2193463
106	221.6429205
107	219.4275964
108	216.860905
109	215.4529904
110	212.5753176
111	210.3723024
112	208.0957107
113	205.9063864
114	204.5602482
115	203.0758532
116	201.6327701
117	199.5281253
118	197.7944885
119	195.7299579
120	192.9662853
121	190.9928291
122	189.1352319
123	188.0355529
124	186.5864924
125	184.4849177
126	182.1636068
127	178.6463952
128	176.2493901
129	174.3731828
130	172.9791219
131	171.73841
132	170.7546341
133	169.318195
134	167.1358124
135	165.7151599
136	164.1545625
137	163.4075829
138	161.2014629
139	159.4890475
140	157.7609857
141	156.3390646
142	155.5883455
143	153.8898503
144	152.4496401
145	150.5119807
146	148.6310431
147	147.8395429
148	146.5732937
149	144.2584066
150	142.7293568
151	140.62512
152	139.0339862
153	138.1284768
154	136.7534894
155	135.9614778
156	135.3179414
157	134.6529368
158	133.3541722
159	132.6605139
160	131.362039
161	129.554998
162	128.7426948
163	127.6126832
164	126.4012579
165	125.8143641
166	124.7938953
167	123.8610299
168	123.1698648
169	121.7785628
170	121.0563236
171	120.0662885
172	119.2167688
173	118.5322367
174	117.7028495
175	117.0941619
176	116.2315628
177	114.9822091
178	114.440171
179	113.2340763
180	112.5988977
181	111.9580951
182	111.5269817
183	110.941744
184	109.847695
185	109.2034927
186	107.7752415
187	106.4864292
188	105.195122
189	104.7351665
190	104.3068092
191	103.6136959
192	103.0862209
193	102.6108143
194	101.5687263
195	100.6882241
196	100.1594684
197	99.10330757
198	98.30604773
199	97.84218685
200	96.99679517
201	96.03484969
202	95.34510714
203	94.86371731
204	94.37117368
205	93.70126918
206	93.21266113
207	92.28246174
208	91.82300106
209	91.20457669
210	90.51894863
211	89.62970891
212	89.20603366
213	88.22714312
214	87.68841221
215	87.32147893
216	86.6775701
217	85.60150794
218	85.27844167
219	84.47349724
220	83.77401299
221	83.27989314
222	82.46153639
223	81.89818713
224	81.25791761
225	80.983628
226	80.28306391
227	79.9925985
228	79.68365346
229	79.37641644
230	78.96115088
231	78.48162558
232	77.86846607
233	77.5317632
234	77.00932951
235	76.543612
236	76.14586884
237	75.68873694
238	75.15364259
239	74.35908926
240	73.89178169
241	73.53098093
242	73.16290217
243	72.75358414
244	72.30520396
245	72.09551013
246	71.80504712
247	71.42297811
248	71.15569652
249	70.91755567
250	70.71337413
251	70.54135476
252	70.34825333
253	69.89246912
254	69.39635725
255	69.01052615
256	68.76045311
257	68.41616389
258	67.90549565
259	67.77834064
260	67.4273052
261	66.95263027
262	66.44746586
263	66.13324777
264	65.72085392
265	65.2773562
266	64.8031563
267	64.32207661
