iter	Passed	Remaining
0	2	1298
1	4	1194
2	7	1182
3	9	1205
4	12	1195
5	14	1210
6	16	1194
7	19	1194
8	21	1187
9	24	1217
10	27	1224
11	29	1217
12	32	1211
13	34	1208
14	35	1158
15	38	1159
16	41	1184
17	44	1184
18	46	1183
19	47	1147
20	50	1147
21	52	1149
22	56	1162
23	57	1138
24	60	1143
25	62	1146
26	65	1148
27	67	1145
28	70	1148
29	75	1177
30	77	1177
31	80	1174
32	82	1171
33	85	1169
34	85	1140
35	88	1144
36	91	1145
37	94	1143
38	96	1140
39	98	1137
40	101	1136
41	104	1143
42	107	1145
43	110	1143
44	112	1140
45	115	1137
46	117	1135
47	120	1134
48	123	1134
49	126	1134
50	128	1135
51	131	1133
52	134	1130
53	137	1132
54	140	1135
55	142	1132
56	145	1130
57	147	1127
58	150	1125
59	153	1127
60	156	1125
61	159	1123
62	161	1121
63	164	1120
64	167	1117
65	170	1118
66	172	1116
67	175	1114
68	177	1111
69	180	1108
70	183	1107
71	187	1113
72	189	1111
73	192	1109
74	195	1106
75	197	1103
76	202	1109
77	205	1110
78	208	1109
79	211	1107
80	213	1104
81	216	1101
82	219	1101
83	222	1099
84	224	1097
85	227	1097
86	230	1095
87	233	1094
88	236	1092
89	239	1090
90	241	1087
91	244	1083
92	246	1080
93	249	1079
94	252	1075
95	254	1072
96	257	1069
97	259	1065
98	262	1062
99	265	1060
100	267	1058
101	270	1055
102	273	1052
103	275	1049
104	278	1046
105	280	1043
106	283	1042
107	286	1039
108	289	1036
109	291	1033
110	293	1030
111	296	1026
112	299	1025
113	302	1022
114	304	1019
115	306	1015
116	309	1012
117	311	1009
118	315	1009
119	317	1006
120	320	1004
121	323	1002
122	325	998
123	328	995
124	331	995
125	334	992
126	337	989
127	339	986
128	342	984
129	344	981
130	347	978
131	350	975
132	352	972
133	354	969
134	357	966
135	360	963
136	363	962
137	365	959
138	368	956
139	370	953
140	373	950
141	375	947
142	379	946
143	382	944
144	384	941
145	387	938
146	389	935
147	392	932
148	396	935
149	399	932
150	402	929
151	404	926
152	407	923
153	410	922
154	413	920
155	416	917
156	418	914
157	421	911
158	423	908
159	426	906
160	429	904
161	432	902
162	435	900
163	437	897
